Id,alpha
270007,4
270008,4
270009,2
270010,1
270011,1
270012,1
270013,4
270014,3
270015,4
270016,2
270017,2
270018,1
270019,2
270020,1
270021,2
270022,4
270023,2
270024,4
270025,2
270026,2
270027,2
270028,1
270029,4
270030,3
270031,4
270032,2
270033,4
270034,2
270035,2
270036,2
270037,4
270038,2
270039,4
270040,2
270041,2
270042,4
270043,2
270044,1
270045,2
270046,2
270047,1
270048,2
270049,1
270050,2
270051,1
270052,2
270053,1
270054,3
270055,1
270056,2
270057,2
270058,2
270059,2
270060,2
270061,1
270062,2
270063,2
270064,4
270065,1
270066,1
270067,2
270068,1
270069,2
270070,3
270071,2
270072,2
270073,3
270074,2
270075,4
270076,2
270077,1
270078,1
270079,3
270080,4
270081,2
270082,4
270083,2
270084,4
270085,2
270086,3
270087,4
270088,4
270089,1
270090,4
270091,4
270092,2
270093,4
270094,1
270095,4
270096,2
270097,2
270098,3
270099,2
270100,1
270101,2
270102,2
270103,2
270104,2
270105,4
270106,2
270107,1
270108,2
270109,3
270110,2
270111,2
270112,1
270113,1
270114,2
270115,2
270116,3
270117,1
270118,3
270119,1
270120,2
270121,2
270122,4
270123,4
270124,2
270125,2
270126,4
270127,2
270128,2
270129,4
270130,2
270131,4
270132,2
270133,2
270134,2
270135,2
270136,2
270137,1
270138,3
270139,1
270140,3
270141,2
270142,2
270143,2
270144,2
270145,2
270146,2
270147,1
270148,2
270149,2
270150,3
270151,2
270152,1
270153,2
270154,2
270155,3
270156,2
270157,2
270158,1
270159,2
270160,1
270161,2
270162,2
270163,2
270164,2
270165,2
270166,2
270167,2
270168,3
270169,1
270170,3
270171,1
270172,2
270173,1
270174,3
270175,2
270176,4
270177,2
270178,1
270179,2
270180,2
270181,2
270182,2
270183,2
270184,1
270185,2
270186,2
270187,1
270188,3
270189,4
270190,1
270191,2
270192,4
270193,1
270194,2
270195,2
270196,2
270197,1
270198,4
270199,2
270200,4
270201,2
270202,2
270203,4
270204,2
270205,2
270206,3
270207,2
270208,1
270209,2
270210,1
270211,1
270212,2
270213,4
270214,2
270215,2
270216,4
270217,1
270218,2
270219,2
270220,2
270221,2
270222,1
270223,3
270224,2
270225,1
270226,2
270227,1
270228,2
270229,1
270230,2
270231,3
270232,2
270233,1
270234,1
270235,2
270236,3
270237,2
270238,1
270239,3
270240,2
270241,3
270242,4
270243,2
270244,4
270245,4
270246,1
270247,2
270248,3
270249,2
270250,4
270251,2
270252,2
270253,3
270254,2
270255,2
270256,3
270257,2
270258,4
270259,2
270260,1
270261,2
270262,4
270263,2
270264,1
270265,4
270266,1
270267,1
270268,2
270269,3
270270,1
270271,2
270272,2
270273,4
270274,1
270275,4
270276,2
270277,1
270278,2
270279,4
270280,1
270281,2
270282,2
270283,2
270284,1
270285,4
270286,1
270287,4
270288,3
270289,2
270290,1
270291,3
270292,4
270293,2
270294,2
270295,2
270296,2
270297,2
270298,3
270299,1
270300,2
270301,2
270302,3
270303,3
270304,4
270305,1
270306,4
270307,2
270308,2
270309,2
270310,1
270311,2
270312,1
270313,1
270314,2
270315,2
270316,2
270317,2
270318,2
270319,2
270320,1
270321,3
270322,1
270323,4
270324,2
270325,1
270326,1
270327,2
270328,2
270329,1
270330,2
270331,3
270332,2
270333,2
270334,4
270335,3
270336,2
270337,3
270338,2
270339,1
270340,1
270341,2
270342,2
270343,2
270344,2
270345,2
270346,3
270347,2
270348,3
270349,1
270350,1
270351,1
270352,1
270353,4
270354,3
270355,3
270356,1
270357,2
270358,2
270359,3
270360,1
270361,3
270362,2
270363,2
270364,2
270365,2
270366,3
270367,1
270368,2
270369,2
270370,3
270371,3
270372,2
270373,2
270374,3
270375,3
270376,2
270377,1
270378,1
270379,2
270380,2
270381,4
270382,1
270383,2
270384,1
270385,1
270386,4
270387,3
270388,2
270389,1
270390,4
270391,4
270392,2
270393,4
270394,1
270395,2
270396,1
270397,4
270398,1
270399,2
270400,2
270401,2
270402,2
270403,4
270404,4
270405,4
270406,4
270407,2
270408,3
270409,1
270410,4
270411,2
270412,4
270413,1
270414,2
270415,1
270416,2
270417,2
270418,1
270419,2
270420,2
270421,1
270422,2
270423,2
270424,2
270425,3
270426,2
270427,4
270428,2
270429,3
270430,2
270431,1
270432,3
270433,1
270434,2
270435,1
270436,2
270437,3
270438,2
270439,4
270440,1
270441,3
270442,2
270443,4
270444,2
270445,2
270446,1
270447,2
270448,2
270449,2
270450,3
270451,4
270452,2
270453,4
270454,2
270455,2
270456,3
270457,4
270458,1
270459,2
270460,1
270461,1
270462,2
270463,1
270464,2
270465,1
270466,2
270467,2
270468,2
270469,4
270470,2
270471,2
270472,4
270473,1
270474,2
270475,1
270476,4
270477,1
270478,2
270479,2
270480,2
270481,1
270482,3
270483,3
270484,4
270485,2
270486,1
270487,2
270488,4
270489,1
270490,4
270491,2
270492,3
270493,2
270494,3
270495,1
270496,3
270497,2
270498,2
270499,2
270500,1
270501,2
270502,2
270503,3
270504,2
270505,1
270506,3
270507,2
270508,2
270509,4
270510,4
270511,2
270512,4
270513,2
270514,2
270515,2
270516,2
270517,2
270518,2
270519,4
270520,2
270521,2
270522,3
270523,1
270524,1
270525,3
270526,2
270527,3
270528,2
270529,3
270530,2
270531,3
270532,2
270533,2
270534,1
270535,3
270536,2
270537,2
270538,1
270539,3
270540,4
270541,1
270542,1
270543,3
270544,4
270545,3
270546,3
270547,2
270548,2
270549,3
270550,2
270551,2
270552,3
270553,2
270554,1
270555,2
270556,1
270557,2
270558,3
270559,2
270560,2
270561,4
270562,2
270563,4
270564,1
270565,1
270566,2
270567,1
270568,2
270569,3
270570,1
270571,3
270572,2
270573,4
270574,2
270575,2
270576,2
270577,4
270578,2
270579,2
270580,3
270581,1
270582,2
270583,3
270584,4
270585,2
270586,2
270587,2
270588,1
270589,2
270590,2
270591,4
270592,2
270593,3
270594,1
270595,4
270596,4
270597,2
270598,2
270599,2
270600,2
270601,3
270602,1
270603,4
270604,3
270605,2
270606,3
270607,1
270608,3
270609,2
270610,3
270611,4
270612,2
270613,2
270614,3
270615,2
270616,2
270617,3
270618,2
270619,2
270620,2
270621,2
270622,2
270623,4
270624,2
270625,2
270626,1
270627,3
270628,1
270629,3
270630,4
270631,2
270632,1
270633,2
270634,2
270635,4
270636,1
270637,1
270638,3
270639,4
270640,2
270641,2
270642,2
270643,1
270644,4
270645,2
270646,2
270647,2
270648,2
270649,3
270650,1
270651,3
270652,1
270653,2
270654,2
270655,2
270656,2
270657,3
270658,2
270659,3
270660,4
270661,1
270662,1
270663,4
270664,2
270665,2
270666,2
270667,2
270668,1
270669,3
270670,2
270671,1
270672,4
270673,1
270674,2
270675,2
270676,4
270677,3
270678,1
270679,1
270680,2
270681,2
270682,3
270683,4
270684,1
270685,2
270686,1
270687,4
270688,2
270689,2
270690,2
270691,1
270692,1
270693,2
270694,2
270695,2
270696,1
270697,2
270698,1
270699,2
270700,2
270701,3
270702,3
270703,4
270704,2
270705,2
270706,1
270707,2
270708,2
270709,2
270710,1
270711,3
270712,4
270713,1
270714,2
270715,2
270716,4
270717,4
270718,2
270719,2
270720,2
270721,4
270722,4
270723,2
270724,1
270725,2
270726,2
270727,1
270728,3
270729,2
270730,1
270731,1
270732,2
270733,2
270734,2
270735,2
270736,2
270737,4
270738,3
270739,4
270740,2
270741,2
270742,4
270743,1
270744,2
270745,4
270746,2
270747,2
270748,1
270749,2
270750,2
270751,2
270752,1
270753,2
270754,2
270755,1
270756,1
270757,2
270758,1
270759,2
270760,2
270761,2
270762,2
270763,3
270764,1
270765,1
270766,2
270767,4
270768,2
270769,2
270770,2
270771,2
270772,1
270773,2
270774,4
270775,4
270776,2
270777,2
270778,1
270779,4
270780,2
270781,4
270782,4
270783,2
270784,1
270785,4
270786,3
270787,2
270788,4
270789,3
270790,1
270791,1
270792,2
270793,3
270794,2
270795,2
270796,3
270797,1
270798,2
270799,3
270800,2
270801,2
270802,1
270803,4
270804,2
270805,4
270806,2
270807,3
270808,2
270809,4
270810,1
270811,4
270812,4
270813,4
270814,2
270815,3
270816,4
270817,2
270818,2
270819,3
270820,2
270821,2
270822,2
270823,2
270824,3
270825,2
270826,4
270827,2
270828,4
270829,2
270830,3
270831,4
270832,2
270833,2
270834,1
270835,3
270836,2
270837,2
270838,1
270839,2
270840,3
270841,2
270842,1
270843,2
270844,2
270845,3
270846,4
270847,1
270848,2
270849,1
270850,2
270851,2
270852,2
270853,1
270854,3
270855,3
270856,4
270857,4
270858,4
270859,2
270860,4
270861,1
270862,2
270863,1
270864,2
270865,3
270866,2
270867,4
270868,4
270869,2
270870,4
270871,1
270872,4
270873,3
270874,4
270875,2
270876,3
270877,2
270878,2
270879,4
270880,2
270881,1
270882,1
270883,3
270884,4
270885,3
270886,4
270887,2
270888,2
270889,2
270890,2
270891,2
270892,2
270893,4
270894,3
270895,2
270896,4
270897,1
270898,4
270899,4
270900,2
270901,1
270902,2
270903,4
270904,3
270905,3
270906,2
270907,3
270908,3
270909,2
270910,4
270911,4
270912,4
270913,4
270914,2
270915,3
270916,2
270917,2
270918,2
270919,3
270920,2
270921,3
270922,4
270923,2
270924,2
270925,3
270926,2
270927,2
270928,1
270929,2
270930,2
270931,1
270932,1
270933,1
270934,1
270935,3
270936,2
270937,2
270938,3
270939,2
270940,4
270941,1
270942,2
270943,3
270944,1
270945,4
270946,4
270947,4
270948,4
270949,1
270950,3
270951,4
270952,2
270953,3
270954,1
270955,3
270956,2
270957,1
270958,2
270959,1
270960,2
270961,1
270962,2
270963,4
270964,2
270965,4
270966,3
270967,2
270968,4
270969,4
270970,1
270971,3
270972,2
270973,1
270974,1
270975,2
270976,1
270977,2
270978,2
270979,2
270980,2
270981,4
270982,4
270983,1
270984,2
270985,3
270986,2
270987,2
270988,2
270989,2
270990,3
270991,3
270992,2
270993,4
270994,4
270995,2
270996,2
270997,2
270998,2
270999,2
271000,1
271001,2
271002,2
271003,2
271004,1
271005,2
271006,4
271007,1
271008,3
271009,2
271010,4
271011,2
271012,4
271013,2
271014,1
271015,2
271016,2
271017,2
271018,2
271019,2
271020,2
271021,4
271022,4
271023,1
271024,1
271025,2
271026,1
271027,4
271028,1
271029,1
271030,2
271031,2
271032,1
271033,3
271034,1
271035,1
271036,4
271037,2
271038,3
271039,3
271040,3
271041,4
271042,2
271043,1
271044,4
271045,4
271046,3
271047,4
271048,3
271049,2
271050,4
271051,1
271052,2
271053,3
271054,2
271055,2
271056,3
271057,1
271058,1
271059,4
271060,1
